03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Отключение бд
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное подключение к БД
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Заметка создана успешно
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Отключение бд
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное подключение к БД
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Заметка успешно обновлена
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Отключение бд
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное подключение к БД
03.19 14.13.48  INFO main ru.sfedu.notes.db.DatabaseManager - Отключение бд
03.19 14.13.49  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное подключение к БД
03.19 14.13.49  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.13.49  INFO main ru.sfedu.notes.db.DatabaseManager - Отключение бд
03.19 14.16.15  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное подключение к БД
03.19 14.16.15  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.16.15  INFO main ru.sfedu.notes.db.DatabaseManager - Заметка создана успешно
03.19 14.16.23  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.16.35  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.16.47  INFO main ru.sfedu.notes.db.DatabaseManager - Успешная проверка существования заметки
03.19 14.16.47  WARN main ru.sfedu.notes.NotesApp - Заметка с id 3 не найдена
03.19 14.17.00  INFO main ru.sfedu.notes.db.DatabaseManager - Успешное получение заметок
03.19 14.17.00  INFO main ru.sfedu.notes.db.DatabaseManager - Успешная проверка существования заметки
03.19 14.17.00  INFO main ru.sfedu.notes.db.DatabaseManager - Заметка успешно удалена
